slug,media,headline,date,publisher,href,iref,Customer,Product,Finance,Operations,Partner,Competitor,Environment
alaska-air-saver-fare,article,Flyers vote with their wallets,2014-11-03,The Economist,https://www.economist.com/gulliver/2014/11/03/flyers-vote-with-their-wallets,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/The_Economist_Logo.svg/1920px-The_Economist_Logo.svg.png,1,,,,,1,1
alaska-air-saver-fare,analysis,4 Reasons Airline Load Factors Will Never Reach 100%,2015-08-19,Seeking Alpha,https://seekingalpha.com/article/3452476-4-reasons-airline-load-factors-will-never-reach-100-percent,https://static.seekingalpha.com/uploads/2015/8/18/28724075-14399066787324603-Three-Point-Aviation-Services-LLC.jpg,,,1,1,,,
alaska-air-saver-fare,article,How Much of Your $355 Ticket Is Profit for Airlines?,2018-02-14,The Wall Street Journal,https://www.wsj.com/articles/how-much-of-your-355-ticket-is-profit-for-airlines-1518618600,https://s.wsj.net/public/resources/images/BN-XL663_MIDSEA_P_20180213145608.jpg,,,1,,,,1
alaska-air-saver-fare,article,JetBlue Joins Airlines Selling Basic Economy Tickets,2018-07-28,The Wall Street Journal,https://www.wsj.com/articles/jetblue-joins-airlines-selling-basic-economy-tickets-1538161879,https://images.wsj.net/im-28563/?width=700&size=1.5,,,,,,1,
alaska-air-saver-fare,article,Alaska Airlines-Virgin America merger still a work in progress,2018-10-13,Forbes,https://www.forbes.com/sites/michaelgoldstein/2018/06/13/alaska-airlines-virgin-america-merger-still-a-work-in-progress/?sh=33360de76a31,https://imageio.forbes.com/specials-images/dam/imageserve/8c5f19cc00d6490aa2d943462d0c89a6/960x0.jpg?format=jpg&width=1440,,1,,1,,,
alaska-air-saver-fare,article,From Tardy to On-Time: Spirit Airlines Tries to Shed Old Image,2018-12-27,The Wall Street Journal,https://www.wsj.com/articles/from-tardy-to-on-time-spirit-airlines-tries-to-shed-old-image-11545919200,https://s.wsj.net/public/resources/images/B3-CT268_spirit_ER_20181224153211.jpg,,,,,,1,
alaska-air-saver-fare,article,Airlines Strike a Delicate Balance When Selling Discount Tickets,2019-03-21,Skift,https://skift.com/2019/03/21/airlines-strike-a-delicate-balance-when-selling-discount-tickets/,https://skift.com/wp-content/uploads/2019/03/Alaska-Airlines-Airbus-A321-Interior.jpg,1,1,,,,,
alaska-air-saver-fare,spreadsheet,Selected Alaska Airlines data and competitor comparisons,2020-01-28,"Stephen Jones, Ph.D.",https://docs.google.com/spreadsheets/d/1SENja-8mw2sbaH2LdSpYZzk2AIjFXH02qewb9zxYR04/edit#gid=0,google-sheets-2020-logo.gif,,,1,,,1,
alaska-air-saver-fare,article,The World After Covid Could Shake Up Business Flights,2020-11-22,The Wall Street Journal,https://www.wsj.com/articles/the-world-after-covid-could-shake-up-business-flights-11606058298,https://images.wsj.net/im-263649/?width=700&size=1.5,1,1,,,,,1
alaska-air-saver-fare,article,The Covid Pandemic Could Cut Business Travel by 36%—Permanently,2020-12-01,The Wall Street Journal,https://www.wsj.com/articles/the-covid-pandemic-could-cut-business-travel-by-36permanently-11606830490,https://images.wsj.net/im-266324/?width=700&size=1.5,1,,,,,,1
alaska-air-saver-fare,article,"Despite It All, Two New U.S. Airlines Prepare to Fly",2021-03-16,The New York Times,https://www.nytimes.com/2021/03/16/travel/airlines-breeze-avelo-usa.html,https://static01.nyt.com/images/2021/03/17/travel/05new-airlines-print/05new-airlines-print-superJumbo-v2.jpg?quality=75&auto=webp,,,,,,1,
alaska-air-saver-fare,article,Alaska Airlines becomes ‘truly global’ with entry into oneworld,2021-04-01,Aviation Week Network,https://aviationweek.com/air-transport/airports-networks/alaska-airlines-becomes-truly-global-entry-oneworld,https://aviationweek.com/sites/default/files/styles/crop_freeform/public/2023-06/210331_oneworld_alliance_alaska_airlines_joins_oneworld_news_article.jpeg?itok=1YEbMHr3,,1,,1,1,,
alaska-air-saver-fare,slide deck,Alaska Air selected information,2021-12-17,"Stephen Jones, Ph.D.",https://docs.google.com/presentation/d/1RUzpaGcZnku7qL80wElTR4MotFIgf_jtEZXBKjQQz2c/edit#slide=id.g261279ea87d_0_21,google-slides-2020-logo.png,,,1,1,,1,
alaska-air-saver-fare,article,What Is An Airline's Load Factor And Why Does It Matter?,2022-10-27,Simple Flying,https://simpleflying.com/load-factor/,https://static1.simpleflyingimages.com/wordpress/wp-content/uploads/2022/10/GettyImages-1244170027.jpg?q=50&fit=contain&w=1140&h=&dpr=1.5,,,1,1,,,
alaska-air-saver-fare,article,Airlines Are Bumping a Lot More Passengers Lately,2023-01-19,The Wall Street Journal,https://www.wsj.com/articles/oversold-flights-bump-involuntary-voluntary-vouchers-11674067731,https://images.wsj.net/im-705414/?width=1278&size=1,,,,1,,1,1
alaska-air-saver-fare,article,The best airlines in the U.S. for 2023,2023-05-24,The Points Guy,https://thepointsguy.com/news/best-us-airlines-2023/,https://thepointsguy.global.ssl.fastly.net/us/originals/2023/05/Featured-Image-2.jpg?width=1920,,,,,,1,
amazon-grocery,article,Amazon’s Newest Ambition: Competing Directly With UPS and FedEx,2016-09-27,The Wall Street Journal,https://www.wsj.com/articles/amazons-newest-ambitioncompeting-directly-with-ups-and-fedex-1474994758,https://s.wsj.net/public/resources/images/BN-PY855_0923am_P_20160923174544.jpg,,,,1,,,
amazon-grocery,article,Amazon Expands Into Ocean Freight,2017-01-25,The Wall Street Journal,https://www.wsj.com/articles/amazon-expands-into-ocean-freight-1485357884,https://s.wsj.net/public/resources/images/BN-RU226_amznoc_OR_20170125101205.jpg,,,,1,,,
